,date,open,high,low,close,volume,Name,RealName,dat,value
2925,2015-09-01,21.3971,21.7597,20.9756,21.1324,8835220,NVDA,Nvidia,1,-10.798375727081625
2946,2015-10-01,24.1611,24.2297,23.0045,23.6906,12232427,NVDA,Nvidia,1,-26.477853915288748
2988,2015-12-01,31.4845,32.2519,31.4549,32.2224,10237433,NVDA,Nvidia,1,11.774663521576235
3029,2016-02-01,28.7886,28.9755,28.5426,28.828000000000003,7247099,NVDA,Nvidia,1,-10.859065300341976
3049,2016-03-01,31.0462,32.3398,30.9968,32.3398,8717512,NVDA,Nvidia,1,-9.405219456988238
3071,2016-04-01,34.9665,35.7169,34.6998,35.6972,8707319,NVDA,Nvidia,1,-22.97291757024147
3113,2016-06-01,46.0368,46.7892,45.8982,46.3437,9678267,NVDA,Nvidia,1,0.32146197007480976
3135,2016-07-01,46.2843,46.8882,46.0368,46.1952,5462198,NVDA,Nvidia,1,-17.750766047834148
3155,2016-08-01,56.7688,56.9767,55.7985,56.1649,7527970,NVDA,Nvidia,1,-10.331422294810814
3178,2016-09-01,60.8904,62.8642,60.8408,62.6361,10712305,NVDA,Nvidia,1,-8.544550075122546
3220,2016-11-01,70.8388,71.2256,67.7343,68.4881,11830629,NVDA,Nvidia,1,-21.329588660303017
3241,2016-12-01,91.4873,91.5568,84.206,87.057,25888074,NVDA,Nvidia,1,-23.0890196206619
3282,2017-02-01,109.8443,113.3608,109.1291,113.1919,14750082,NVDA,Nvidia,1,10.717366850882774
3301,2017-03-01,103.2296,103.8064,100.564,102.235,12620139,NVDA,Nvidia,1,-3.610266234978438
3343,2017-05-01,104.1744,106.2731,103.88600000000001,106.0642,7693333,NVDA,Nvidia,1,-26.206814502298375
3365,2017-06-01,144.359,144.3988,141.8997,143.7317,12583467,NVDA,Nvidia,1,-12.237832477784957
3407,2017-08-01,161.4194,163.8438,160.2993,163.7741,10784578,NVDA,Nvidia,1,-3.5872055648045924
3430,2017-09-01,169.3594,171.3026,169.0106,169.8676,11135787,NVDA,Nvidia,1,-17.73165329894095
3472,2017-11-01,208.6225,209.2403,203.889,206.4799,12564446,NVDA,Nvidia,1,4.743118493500221
3493,2017-12-01,198.7553,199.57299999999998,191.9343,197.1298,20288748,NVDA,Nvidia,1,-17.804601329187637
3534,2018-02-01,237.8562,246.2128,237.3974,239.8307,12980572,NVDA,Nvidia,1,3.505754666657457
3553,2018-03-01,241.3866,243.5619,227.6313,231.7076,26002972,NVDA,Nvidia,1,2.2320896753829613
3595,2018-05-01,224.0841,226.7583,221.7193,226.6486,6344727,NVDA,Nvidia,1,-11.885860285450379
3617,2018-06-01,253.6072,257.4712,253.2577,257.2216,10549248,NVDA,Nvidia,1,4.523895439369866
3659,2018-08-01,245.7494,247.9758,243.5088,246.0888,7088889,NVDA,Nvidia,1,-14.868962807009783
3701,2018-10-01,283.8758,291.7679,282.3174,289.0706,15551453,NVDA,Nvidia,1,32.66697844206233
3724,2018-11-01,212.0877,218.2715,206.9828,217.8919,14163208,NVDA,Nvidia,1,370.3660529445923
3805,2015-12-01,45.2153,46.9267,45.157,46.3239,667107,RACE,Ferrari,1,19.308778192438748
3846,2016-02-01,37.8448,38.9435,37.7767,38.8269,1185499,RACE,Ferrari,1,1.1143519362483425
3866,2016-03-01,37.7086,38.399,37.3634,38.399,678102,RACE,Ferrari,1,-3.800240004609691
3888,2016-04-01,39.6048,40.0423,39.5367,39.9159,425403,RACE,Ferrari,1,-4.706893464637426
3930,2016-06-01,41.7004,41.9662,41.4148,41.8875,562594,RACE,Ferrari,1,2.5555960894825995
3952,2016-07-01,41.0702,41.2079,40.6172,40.8437,322757,RACE,Ferrari,1,-9.39287187928427
3972,2016-08-01,44.3393,45.1171,44.162,45.0778,961540,RACE,Ferrari,1,-5.25654282999991
3995,2016-09-01,47.5296,47.8447,47.1948,47.5788,305924,RACE,Ferrari,1,-5.827258530290223
4037,2016-11-01,52.2756,52.2855,50.2374,50.5229,520710,RACE,Ferrari,1,-5.801489712778161
4058,2016-12-01,53.1815,53.8117,53.1126,53.6345,514676,RACE,Ferrari,1,-12.343021697490302
4099,2017-02-01,61.5413,61.6299,60.724,61.1868,372727,RACE,Ferrari,1,-5.6626929552448715
4118,2017-03-01,64.5937,65.2239,64.574,64.8596,302503,RACE,Ferrari,1,-13.832917728926732
4160,2017-05-01,75.2122,75.4409,74.8145,75.2719,300177,RACE,Ferrari,1,-14.548521750581521
4182,2017-06-01,86.6854,88.5744,86.586,88.0873,783514,RACE,Ferrari,1,-18.827239276693422
4224,2017-08-01,108.0411,109.0652,107.7727,108.5183,704475,RACE,Ferrari,1,-6.517677239730095
4247,2017-09-01,114.255,116.9791,114.2351,116.0843,773204,RACE,Ferrari,1,-2.700040903360781
4289,2017-11-01,120.2998,120.439,119.1863,119.3056,643793,RACE,Ferrari,1,11.659074892300374
4310,2017-12-01,106.9773,107.5838,105.3866,106.8481,490502,RACE,Ferrari,1,-16.163507997759087
4351,2018-02-01,123.2327,129.1184,123.2228,127.4482,2679621,RACE,Ferrari,1,5.480162911012216
4370,2018-03-01,123.4813,123.6503,119.5143,120.8267,672177,RACE,Ferrari,1,-1.3498530372305695
4412,2018-05-01,122.66,122.755,121.18,122.48,224526,RACE,Ferrari,1,-7.840481565086533
4434,2018-06-01,133.66,133.81,131.44,132.9,287031,RACE,Ferrari,1,12.6271186440678
4476,2018-08-01,134.77,135.4,116.5401,118.0,6443504,RACE,Ferrari,1,-14.35000362923714
4518,2018-10-01,139.67,139.81,137.15,137.77,435740,RACE,Ferrari,1,14.827471245207539
4541,2018-11-01,120.03,120.4,118.13,119.98,1091164,RACE,Ferrari,1,324.939613098822
4643,2014-04-01,28.3662,28.8924,28.2182,28.2346,46569829,GM,General Motors,1,-1.6048036075845693
4664,2014-05-01,28.5059,29.1062,28.3991,28.6951,19572572,GM,General Motors,1,-7.9240548571135205
4706,2014-07-01,30.0536,31.206,30.0536,31.1646,23414138,GM,General Motors,1,12.41059158343523
4728,2014-08-01,28.0141,28.1882,27.6079,27.7239,15343820,GM,General Motors,1,2.0307594922733245
4770,2014-10-01,26.7372,27.6237,26.5197,27.1721,31138729,GM,General Motors,1,-1.3659595475599327
4812,2014-12-01,27.8579,27.9917,27.4815,27.5484,14391915,GM,General Motors,1,-11.859504528860883
4895,2015-04-01,31.7059,31.791,31.1019,31.2551,16631209,GM,General Motors,1,3.7269224514720096
4916,2015-05-01,29.9194,30.1747,29.6132,30.1321,15307418,GM,General Motors,1,-2.100803477729727
4936,2015-06-01,30.6766,30.9148,30.3278,30.7787,12012462,GM,General Motors,1,8.381428596580813
4958,2015-07-01,28.8885,28.8885,28.0883,28.3985,16169466,GM,General Motors,1,15.362741553498221
5001,2015-09-01,25.0808,25.2441,24.4104,24.6167,16687443,GM,General Motors,1,-7.75356181939458
5022,2015-10-01,26.3552,26.7554,26.0855,26.6858,18261874,GM,General Motors,1,-15.41662836730619
5064,2015-12-01,31.2799,31.6193,31.1494,31.5497,12656421,GM,General Motors,1,19.170144856371234
5105,2016-02-01,25.903000000000002,26.5888,25.5865,26.4745,13831720,GM,General Motors,1,0.33312363093387415
5125,2016-03-01,26.3954,26.58,25.4282,26.3866,21007310,GM,General Motors,1,-2.7293840085523557
