date,close,Name,RealName
2015-07-27,26.6881,GM,General Motors
2015-07-28,26.9202,GM,General Motors
2015-07-29,27.4617,GM,General Motors
2015-07-30,27.4273,GM,General Motors
2015-07-31,27.0835,GM,General Motors
2015-08-03,27.2296,GM,General Motors
2015-08-04,27.0921,GM,General Motors
2015-08-05,27.1608,GM,General Motors
2015-08-06,27.3843,GM,General Motors
2015-08-07,27.2812,GM,General Motors
2015-08-10,27.4531,GM,General Motors
2015-08-11,26.499,GM,General Motors
2015-08-12,26.5334,GM,General Motors
2015-08-13,26.6967,GM,General Motors
2015-08-14,27.0663,GM,General Motors
2015-08-17,27.1694,GM,General Motors
2015-08-18,27.2554,GM,General Motors
2015-08-19,27.1866,GM,General Motors
2015-08-20,26.5076,GM,General Motors
2015-08-21,25.4418,GM,General Motors
2015-08-24,23.8947,GM,General Motors
2015-08-25,23.4477,GM,General Motors
2015-08-26,24.1525,GM,General Motors
2015-08-27,24.5651,GM,General Motors
2015-08-28,24.9261,GM,General Motors
2015-08-31,25.3043,GM,General Motors
2015-09-01,24.6167,GM,General Motors
2015-09-02,25.1066,GM,General Motors
2015-09-03,25.0206,GM,General Motors
2015-09-04,24.8229,GM,General Motors
2015-09-08,25.6825,GM,General Motors
2015-09-09,25.459,GM,General Motors
2015-09-10,26.1029,GM,General Motors
2015-09-11,26.2334,GM,General Motors
2015-09-14,26.7293,GM,General Motors
2015-09-15,26.9642,GM,General Motors
2015-09-16,27.147,GM,General Motors
2015-09-17,27.2427,GM,General Motors
2015-09-18,26.5466,GM,General Motors
2015-09-21,26.6423,GM,General Motors
2015-09-22,26.129,GM,General Motors
2015-09-23,25.8592,GM,General Motors
2015-09-24,25.6156,GM,General Motors
2015-09-25,25.5895,GM,General Motors
2015-09-28,24.8499,GM,General Motors
2015-09-29,25.3633,GM,General Motors
2015-09-30,26.1203,GM,General Motors
2015-10-01,26.6858,GM,General Motors
2015-10-02,27.6081,GM,General Motors
2015-10-05,27.6342,GM,General Motors
2015-10-06,28.0345,GM,General Motors
2015-10-07,28.7566,GM,General Motors
2015-10-08,29.0873,GM,General Motors
2015-10-09,28.6696,GM,General Motors
2015-10-12,28.7305,GM,General Motors
2015-10-13,28.8263,GM,General Motors
2015-10-14,29.0003,GM,General Motors
2015-10-15,28.9916,GM,General Motors
2015-10-16,28.8437,GM,General Motors
2015-10-19,28.922,GM,General Motors
2015-10-20,29.1308,GM,General Motors
2015-10-21,30.8188,GM,General Motors
2015-10-22,30.8188,GM,General Motors
2015-10-23,31.2799,GM,General Motors
2015-10-26,31.0363,GM,General Motors
2015-10-27,30.4272,GM,General Motors
2015-10-28,30.6448,GM,General Motors
2015-10-29,30.2358,GM,General Motors
2015-10-30,30.375,GM,General Motors
2015-11-02,30.9493,GM,General Motors
2015-11-03,31.132,GM,General Motors
2015-11-04,30.8188,GM,General Motors
2015-11-05,30.8362,GM,General Motors
2015-11-06,31.1059,GM,General Motors
2015-11-09,31.0363,GM,General Motors
2015-11-10,30.9928,GM,General Motors
2015-11-11,30.9319,GM,General Motors
2015-11-12,30.5316,GM,General Motors
2015-11-13,29.853,GM,General Motors
2015-11-16,30.6012,GM,General Motors
2015-11-17,30.6361,GM,General Motors
2015-11-18,31.7237,GM,General Motors
2015-11-19,31.4452,GM,General Motors
2015-11-20,31.6193,GM,General Motors
2015-11-23,31.393,GM,General Motors
2015-11-24,31.5148,GM,General Motors
2015-11-25,31.6193,GM,General Motors
2015-11-27,31.6454,GM,General Motors
2015-11-30,31.4974,GM,General Motors
2015-12-01,31.5497,GM,General Motors
2015-12-02,31.0885,GM,General Motors
2015-12-03,30.8623,GM,General Motors
2015-12-04,31.5409,GM,General Motors
2015-12-07,31.4365,GM,General Motors
2015-12-08,30.871,GM,General Motors
2015-12-09,30.8449,GM,General Motors
2015-12-10,31.0015,GM,General Motors
2015-12-11,30.0618,GM,General Motors
2015-12-14,29.9226,GM,General Motors
2015-12-15,30.0531,GM,General Motors
2015-12-16,30.8972,GM,General Motors
2015-12-17,29.9915,GM,General Motors
2015-12-18,29.6047,GM,General Motors
2015-12-21,29.7454,GM,General Motors
2015-12-22,30.1498,GM,General Motors
2015-12-23,30.5807,GM,General Motors
2015-12-24,30.4224,GM,General Motors
2015-12-28,30.3433,GM,General Motors
2015-12-29,30.3345,GM,General Motors
2015-12-30,30.185,GM,General Motors
2015-12-31,29.9036,GM,General Motors
2016-01-04,29.2881,GM,General Motors
2016-01-05,28.5144,GM,General Motors
2016-01-06,27.4945,GM,General Motors
2016-01-07,26.369,GM,General Motors
2016-01-08,25.9645,GM,General Motors
2016-01-11,26.5976,GM,General Motors
2016-01-12,26.6416,GM,General Motors
2016-01-13,26.8086,GM,General Motors
2016-01-14,26.6416,GM,General Motors
2016-01-15,25.9997,GM,General Motors
2016-01-19,25.8502,GM,General Motors
2016-01-20,25.8678,GM,General Motors
2016-01-21,25.9821,GM,General Motors
2016-01-22,25.7447,GM,General Motors
2016-01-25,25.7008,GM,General Motors
2016-01-26,26.07,GM,General Motors
2016-01-27,25.6832,GM,General Motors
2016-01-28,25.5161,GM,General Motors
2016-01-29,26.0613,GM,General Motors
2016-02-01,26.4745,GM,General Motors
2016-02-02,26.07,GM,General Motors
2016-02-03,25.4282,GM,General Motors
2016-02-04,25.182,GM,General Motors
2016-02-05,25.0941,GM,General Motors
2016-02-08,25.2172,GM,General Motors
2016-02-09,24.505,GM,General Motors
2016-02-10,24.3643,GM,General Motors
2016-02-11,23.6521,GM,General Motors
2016-02-12,24.3643,GM,General Motors
2016-02-16,25.1292,GM,General Motors
2016-02-17,25.7359,GM,General Motors
2016-02-18,25.5249,GM,General Motors
2016-02-19,25.3051,GM,General Motors
2016-02-22,26.0525,GM,General Motors
2016-02-23,25.8327,GM,General Motors
2016-02-24,25.3579,GM,General Motors
2016-02-25,25.9382,GM,General Motors
2016-02-26,26.0525,GM,General Motors
2016-02-29,25.8854,GM,General Motors
2016-03-01,26.3866,GM,General Motors
2016-03-02,26.5097,GM,General Motors
2016-03-03,27.3186,GM,General Motors
2016-03-04,27.5824,GM,General Motors
2016-03-07,27.7758,GM,General Motors
2016-03-08,26.9757,GM,General Motors
2016-03-09,27.1894,GM,General Motors
2016-03-10,27.4386,GM,General Motors
2016-03-11,27.8304,GM,General Motors
2016-03-14,27.7591,GM,General Motors
2016-03-15,27.6434,GM,General Motors
2016-03-16,28.2132,GM,General Motors
2016-03-17,28.4536,GM,General Motors
2016-03-18,28.4536,GM,General Motors
2016-03-21,28.5604,GM,General Motors
2016-03-22,28.4001,GM,General Motors
2016-03-23,27.8749,GM,General Motors
2016-03-24,27.5633,GM,General Motors
2016-03-28,27.6167,GM,General Motors
2016-03-29,27.768,GM,General Motors
2016-03-30,27.59,GM,General Motors
2016-03-31,27.9817,GM,General Motors
2016-04-01,27.127,GM,General Motors
2016-04-04,26.6196,GM,General Motors
2016-04-05,26.3525,GM,General Motors
2016-04-06,26.6552,GM,General Motors
2016-04-07,26.1922,GM,General Motors
2016-04-08,26.1477,GM,General Motors
2016-04-11,26.2902,GM,General Motors
2016-04-12,26.4504,GM,General Motors
2016-04-13,27.403,GM,General Motors
2016-04-14,27.3496,GM,General Motors
2016-04-15,27.2072,GM,General Motors
2016-04-18,27.8749,GM,General Motors
2016-04-19,28.4625,GM,General Motors
2016-04-20,28.6583,GM,General Motors
2016-04-21,29.0768,GM,General Motors
2016-04-22,28.6494,GM,General Motors
2016-04-25,28.4447,GM,General Motors
2016-04-26,28.6583,GM,General Motors
2016-04-27,28.6316,GM,General Motors
2016-04-28,28.8809,GM,General Motors
2016-04-29,28.3111,GM,General Motors
2016-05-02,28.2666,GM,General Motors
2016-05-03,27.8215,GM,General Motors
2016-05-04,27.2339,GM,General Motors
2016-05-05,27.1894,GM,General Motors
2016-05-06,27.5633,GM,General Motors
2016-05-09,27.403,GM,General Motors
2016-05-10,27.9105,GM,General Motors
2016-05-11,27.6701,GM,General Motors
2016-05-12,27.7591,GM,General Motors
2016-05-13,27.1716,GM,General Motors
2016-05-16,27.3051,GM,General Motors
2016-05-17,27.2695,GM,General Motors
2016-05-18,27.3763,GM,General Motors
2016-05-19,26.9935,GM,General Motors
2016-05-20,27.2161,GM,General Motors
2016-05-23,27.2339,GM,General Motors
2016-05-24,27.6434,GM,General Motors
2016-05-25,28.1776,GM,General Motors
2016-05-26,27.8571,GM,General Motors
2016-05-27,27.9461,GM,General Motors
2016-05-31,27.8482,GM,General Motors
2016-06-01,26.9045,GM,General Motors
2016-06-02,26.9401,GM,General Motors
2016-06-03,26.3525,GM,General Motors
2016-06-06,26.6997,GM,General Motors
2016-06-07,26.9177,GM,General Motors
2016-06-08,26.6652,GM,General Motors
2016-06-09,26.4759,GM,General Motors
2016-06-10,26.2053,GM,General Motors
2016-06-13,26.2234,GM,General Motors
2016-06-14,25.9979,GM,General Motors
2016-06-15,26.025,GM,General Motors
2016-06-16,26.1693,GM,General Motors
2016-06-17,26.3586,GM,General Motors
2016-06-20,26.7374,GM,General Motors
2016-06-21,26.6111,GM,General Motors
2016-06-22,26.4398,GM,General Motors
2016-06-23,26.8907,GM,General Motors
2016-06-24,25.5651,GM,General Motors
2016-06-27,24.8076,GM,General Motors
2016-06-28,25.015,GM,General Motors
2016-06-29,25.4028,GM,General Motors
2016-06-30,25.52,GM,General Motors
2016-07-01,26.052,GM,General Motors
2016-07-05,25.4028,GM,General Motors
2016-07-06,25.6102,GM,General Motors
2016-07-07,25.9168,GM,General Motors
2016-07-08,26.7464,GM,General Motors
2016-07-11,27.1702,GM,General Motors
2016-07-12,27.594,GM,General Motors
2016-07-13,27.6211,GM,General Motors
2016-07-14,27.7383,GM,General Motors
2016-07-15,27.7473,GM,General Motors
2016-07-18,27.8375,GM,General Motors
2016-07-19,28.1802,GM,General Motors
2016-07-20,28.3966,GM,General Motors
2016-07-21,28.8836,GM,General Motors
2016-07-22,29.0008,GM,General Motors
2016-07-25,28.9106,GM,General Motors
2016-07-26,28.9918,GM,General Motors
2016-07-27,28.8746,GM,General Motors
2016-07-28,27.9457,GM,General Motors
2016-07-29,28.4417,GM,General Motors
